,name,worth_amount_(BUSD),country,company_sector,company_name,age,gender
1164,Todd Christopher,2.1,,Fashion & Retail,hair care products,55.0,
1165,John De Mol,2.1,,Media & Entertainment,television,63.0,M
1166,Bob Gaglardi,2.1,Canada,Real Estate,hotels,77.0,
1167,Gordon Getty,2.1,,Energy,Getty Oil,84.0,M
1168,Philippe Ginestet,2.1,,Fashion & Retail,retail stores,64.0,M
1169,Sanjiv Goenka,2.1,India,Diversified,diversified,57.0,M
1170,Alec Gores,2.1,United States,Finance and Investments,private equity,65.0,M
1171,David Hains,2.1,,Finance and Investments,Investment,87.0,M
1172,Bahaa Hariri,2.1,,Real Estate,"real estate, investments, logistics",52.0,M
1173,William Heinecke,2.1,,Real Estate,hotels,69.0,M
1174,Huang Hongyun,2.1,China,Real Estate,real estate,51.0,M
1175,Huang Zhenda,2.1,,Construction & Engineering,construction,70.0,M
1176,Ravi Jaipuria,2.1,India,Food and Beverage,soft drinks,63.0,M
1177,Jiang Yehua,2.1,,Real Estate,real estate,55.0,M
1178,Manuel Jove,2.1,,Real Estate,real estate,77.0,M
1179,Willibert Krueger,2.1,Germany,Food and Beverage,food processing,77.0,M
1180,Kuok Khoon Hong,2.1,Singapore,Manufacturing,palm oil,68.0,M
1181,Christian Latouche,2.1,,Finance and Investments,accounting services,77.0,M
1182,Guenther Lehmann,2.1,Germany,Fashion & Retail,drugstores,,M
1183,Li Hongxin,2.1,,Manufacturing,paper & related products,65.0,M
1184,Li Xiting,2.1,,Healthcare,medical devices,67.0,
1185,Liang Yunchao,2.1,China,Food and Beverage,nutrition supplements,49.0,M
1186,Brandt Louie,2.1,,Food and Beverage,drugstores,74.0,M
1187,Catherine Lozick,2.1,United States,Manufacturing,valve manufacturing,73.0,F
1188,Igor Makarov,2.1,Russia,Energy,investments,56.0,
1189,Mao Lixiang,2.1,China,Technology,cooking appliances,77.0,
1190,Harsh Mariwala,2.1,India,Food and Beverage,consumer goods,67.0,
1191,Martin Moller Nielsen,2.1,,Logistics,aircraft leasing,53.0,M
1192,David Murdock,2.1,,Food and Beverage,"Dole, real estate",95.0,M
1193,N.R. Narayana Murthy,2.1,,Technology,software services,71.0,M
1194,Georg Nemetschek,2.1,,Technology,software,84.0,M
1195,Vikas Oberoi,2.1,,Real Estate,real estate,47.0,M
1196,Maja Oeri,2.1,,Healthcare,Roche Holding,63.0,F
1197,Ong Beng Seng And Christina Ong,2.1,,Diversified,diversified,73.0,
1198,"H. Ross Perot, Jr.",2.1,,Real Estate,real estate,59.0,M
1199,Tor Peterson,2.1,,Metals & Mining,commodities,53.0,M
1200,Heloise Pratt,2.1,Australia,Manufacturing,"manufacturing, investment",55.0,
1201,Alexey Repik,2.1,Russia,Healthcare,pharmaceuticals,38.0,M
1202,Shin Chang-Jae,2.1,,Finance and Investments,insurance,64.0,
1203,Kavitark Ram Shriram,2.1,,Technology,"venture capital, Google",61.0,M
1204,Sylvia Stroeher,2.1,,Fashion & Retail,cosmetics,63.0,
1205,Katsumi Tada,2.1,,Real Estate,real estate,72.0,M
1206,Tang Shing-Bor,2.1,Hong Kong,Real Estate,real estate,84.0,M
